Packet Size,Source IP,Destination IP,Source Port,Destination Port
593.0831723286756,47.12.62.80,27.140.145.134,1387,58449
1428.5357442943784,216.83.8.223,97.5.57.156,11382,25686
1111.3912156265374,149.81.215.229,78.69.118.120,37101,40160
918.054802085703,118.208.198.200,59.33.62.50,50721,27663
276.2270286415329,25.210.89.12,112.233.19.214,4264,18229
276.1920544874938,143.59.154.233,197.123.194.222,7689,57701
134.22123764388922,109.26.47.32,47.167.196.33,46713,33954
1305.955411373656,10.16.199.145,141.84.182.135,2960,8801
921.6167670276527,151.26.213.86,79.215.14.215,47760,29339
1076.705237804266,250.135.14.79,147.128.54.221,26562,48641
79.84751672891355,117.7.137.115,248.148.29.24,44989,27997
1456.3692856348919,176.72.242.59,82.63.202.105,13022,19340
1257.0418291606115,215.221.82.223,57.136.218.62,1906,28328
357.89171048350045,222.116.167.227,157.202.17.66,21248,37327
313.6462024502959,146.187.234.103,6.58.69.156,40715,31546
315.93653928747904,17.14.159.152,62.169.197.82,59238,23364
491.1512522913297,227.108.188.45,218.212.169.177,54787,20854
810.8968258667448,98.131.37.171,219.177.204.71,61353,14427
676.3202770310678,168.218.183.215,251.131.10.98,47500,15540
472.28225328716076,108.39.15.120,89.35.208.2,59233,52966
937.1866973474503,241.4.93.214,124.24.74.166,31849,20115
252.26609794546067,153.141.210.161,22.154.171.183,6228,8983
473.6097403760663,16.237.170.108,39.219.157.239,29909,32956
581.2246727758529,126.194.55.227,230.20.219.41,41080,31578
711.3014771147022,170.34.158.251,182.148.108.147,4227,37725
1188.5051440198697,247.13.141.18,84.227.111.66,61265,4409
339.5269841296216,160.96.227.123,158.53.34.150,3268,56812
795.6399356997368,39.46.244.29,67.134.207.27,33810,34714
909.0011248499616,190.241.221.62,10.73.225.96,50817,58265
117.3530984439967,245.236.185.16,48.70.233.187,4107,11391
930.9400352570856,184.236.239.121,100.59.252.2,22608,47529
297.2599793465727,10.158.153.103,157.196.65.83,9545,59950
144.3248098286553,84.133.65.222,154.217.10.53,51041,34356
1425.8840290173332,177.3.173.142,79.59.150.179,34565,20666
1450.1664479581111,120.158.242.68,48.149.123.248,30087,11813
1222.1761547688686,146.190.37.153,22.100.98.158,5756,36292
491.6899653013875,176.193.181.238,25.237.28.193,60722,21974
191.6245653092566,207.73.143.49,113.45.68.7,61706,26587
1042.1378884426276,121.88.196.140,49.137.164.83,53694,40673
688.2211159224219,187.250.37.61,129.138.164.73,28542,37428
226.9554405249293,229.171.124.198,237.46.106.160,40587,56206
768.0065196613417,39.184.63.46,32.6.176.166,40776,34015
99.86335561706667,88.11.62.77,145.74.114.27,30721,40089
1368.514583014234,226.153.199.52,54.178.163.244,3591,48687
425.23097332002453,4.59.72.148,251.85.127.153,17145,1374
1010.6573123132739,93.63.54.117,156.111.15.132,2698,57490
501.98106032964586,243.237.110.74,93.123.73.155,11899,19336
804.0986307078257,107.226.57.218,154.147.248.92,45364,25151
842.7299050477554,169.241.250.3,17.43.121.41,1763,58716
318.0389605120142,120.6.5.5,170.178.212.237,2569,29877
1455.89771025861,54.47.215.177,168.39.113.245,30164,38524
1173.942593873616,9.99.20.122,151.111.224.180,60627,34809
1412.2734652680742,241.61.123.234,47.63.225.249,10351,19634
1347.4996581200908,163.178.82.62,110.69.43.176,6151,24614
916.9549692760735,145.216.3.160,34.40.203.61,24355,30467
1386.7176407835193,227.230.13.120,178.195.62.58,24028,49021
178.31412797528327,125.239.89.73,161.75.16.82,42857,8194
334.1751505077605,68.142.101.98,94.48.247.138,54731,14327
115.5795689202802,11.105.184.67,82.38.127.19,11516,7231
521.7289796067332,123.220.29.137,164.187.63.77,55821,13340
613.582070049749,195.153.226.76,248.174.131.202,59119,36211
443.4560960721491,170.9.207.40,102.65.247.120,14773,7264
1251.6693882702975,25.5.139.187,91.238.8.179,64241,2917
567.2923237057045,226.216.124.207,238.234.209.73,24532,14777
457.35503904670213,38.72.251.133,253.134.107.89,10069,39114
836.9093205794603,176.90.146.198,39.113.188.28,21140,12256
254.34012621340582,37.60.176.205,97.182.37.137,19691,60436
1213.1856220933576,28.197.205.81,82.56.187.85,10545,57894
158.0984333356677,114.40.45.224,2.189.58.107,9693,57054
1480.98605807075,62.93.115.186,123.188.230.250,28326,18533
1169.7549154801532,67.56.40.98,168.164.114.252,12307,4141
338.13773822455,40.91.205.237,107.37.79.92,31959,37953
58.00706982922348,33.6.216.147,18.98.63.150,8022,65114
1232.4190712595096,80.168.92.97,139.186.185.205,29830,49315
1074.9431485790449,59.59.48.169,4.214.135.61,32648,5066
1107.0603936594316,13.107.45.89,107.54.88.68,14464,63598
1168.3420026946212,181.170.100.191,220.207.129.55,46489,38225
157.36474501443104,155.166.188.7,3.206.166.242,47525,27770
569.7753063891953,133.235.45.58,121.129.102.38,22821,15040
218.0101363114381,249.243.31.23,85.240.157.133,2293,26046
1301.4999675196107,170.138.160.107,241.202.92.21,8892,36450
953.782283899959,181.158.39.159,242.199.195.109,31275,28962
529.8021360363414,82.100.2.206,47.84.83.35,13397,44702
142.15960791473427,77.221.12.39,196.69.129.196,20011,53659
500.9243664877102,194.224.13.46,140.188.27.56,39753,65126
521.5158169387832,155.113.233.17,234.23.153.21,16758,36736
1107.928958590193,104.223.98.188,61.63.122.52,43453,62744
974.458333465059,192.88.109.163,88.153.237.55,42361,41002
1336.4584767356735,240.70.211.158,46.32.55.96,41349,57829
734.7116414848265,199.74.233.224,133.36.110.234,19088,9811
223.41165661053748,226.63.156.60,177.106.58.39,63538,3010
1084.2049414733428,79.222.37.221,80.97.113.213,9457,11966
1153.1383204945014,22.196.148.96,61.137.6.243,49445,18482
863.8519364757695,228.242.68.219,109.35.39.150,10135,13185
1167.9024109341135,192.17.12.150,169.118.5.170,39474,21713
766.0036147283665,145.138.118.193,87.209.76.215,64777,62589
807.9626026038914,22.218.120.251,208.195.158.57,49271,30187
669.9344766198969,210.50.14.192,127.214.201.29,16071,61948
86.85773377893803,175.29.204.164,239.165.87.141,9108,36799
206.44256914029145,251.227.180.125,160.46.116.239,22775,34761
95.57231924576467,204.7.29.139,112.151.45.145,17477,9796
972.7950963324815,33.134.111.79,247.104.85.194,21332,36616
505.8161725606737,160.179.203.58,229.134.108.18,39992,64769
787.4275021888191,215.26.226.174,94.150.246.33,31101,62369
1365.971387192835,226.29.4.209,158.209.126.235,44070,2235
411.47373226586865,99.141.233.39,160.170.243.206,35799,1253
645.0552384016631,15.119.29.157,122.138.239.252,59168,54460
1145.5491508874206,75.116.32.130,115.164.162.201,49594,49566
381.7573399628526,175.206.84.22,234.28.11.206,47121,15369
161.62086925174984,203.27.195.81,167.247.47.246,25527,36977
470.13960672496364,126.236.184.92,127.147.118.143,3803,32843
283.77086651830643,221.21.47.208,126.156.152.72,22328,48803
1398.061595896731,101.187.84.6,107.253.137.175,1779,17909
1221.7745503684046,147.185.197.131,33.190.225.19,40287,27732
968.435446940114,251.1.58.124,195.74.168.175,43979,1072
1313.6178557721908,166.15.162.189,234.193.157.178,56111,20974
1215.324511503716,163.64.241.25,98.243.141.246,43305,16197
320.52658538475197,24.12.18.15,129.162.93.176,52506,53231
1344.2105478104677,236.208.27.72,239.205.48.177,55881,59056
832.0462507776936,60.174.217.145,245.64.61.157,58477,50562
1220.7882249878908,93.53.8.79,39.128.88.26,18424,34761
1349.3323848890652,27.174.50.244,17.71.13.69,41139,29060
511.10503870920263,199.131.93.192,26.49.195.7,15273,59373
209.5752905651313,172.181.24.60,58.49.103.53,48671,48345
380.50598568581546,122.131.148.46,193.241.62.17,47849,6844
669.3062935080717,15.153.222.206,171.25.251.253,45849,15316
1236.121410587615,199.17.126.236,131.207.29.117,25624,4076
1298.059345721698,84.228.9.166,235.160.26.124,38730,45401
60.08058927022652,176.249.188.63,144.25.54.156,20246,24805
790.5835887374703,214.246.245.117,73.120.56.65,34529,3326
655.2459545657296,130.88.72.139,93.249.86.80,39992,3307
372.05632518255885,64.205.209.72,169.243.108.179,42163,49177
223.80478263384006,21.18.222.64,118.233.199.206,50407,43591
539.5419985352605,82.110.239.95,157.83.147.194,52093,16644
1417.2190706731528,166.32.11.45,169.173.15.131,42326,31485
518.6442514300951,217.33.252.102,139.181.174.30,30172,21774
802.2464015278808,169.136.11.214,57.232.146.179,23326,33914
1069.377490398008,179.88.41.145,128.48.194.224,3647,24207
577.2629234499763,76.121.46.160,136.22.6.204,9670,10496
1459.084019945393,207.80.54.86,239.185.104.36,14567,4751
1445.5485776660612,92.148.161.202,79.220.116.57,29984,47524
415.08432894677804,168.160.242.252,49.173.82.66,63700,58626
771.010333543959,97.2.225.33,77.45.246.79,23809,26547
486.273549234316,233.205.158.161,20.192.221.123,13841,31790
463.01871684732805,77.116.154.150,234.221.67.83,32430,38750
103.48607366407256,103.194.166.103,3.182.206.64,24480,1548
933.8682842708504,90.174.122.242,40.59.183.62,52452,10103
778.8845836818491,143.226.106.119,132.251.60.116,24801,9423
124.64418931248456,172.49.104.203,75.122.223.107,58963,61750
454.0373731430866,61.195.123.134,96.91.158.235,54050,28394
1366.9855346516479,9.6.73.103,130.62.49.137,21938,17556
397.36474146711004,223.160.41.114,92.159.124.226,30577,58177
260.0975645322735,204.8.72.178,61.248.207.48,24572,17845
759.7065024024664,92.62.84.62,153.164.136.201,64245,44186
1479.193158460371,111.251.127.7,250.58.101.112,38289,4773
400.9801436916756,203.84.208.132,173.62.39.224,61037,12377
1024.596543738524,134.58.22.154,58.244.209.99,41725,47801
1154.3484422266406,127.3.127.41,229.211.192.44,52311,29501
394.57443878897953,188.106.14.203,29.59.71.92,7751,25594
1105.9137054871965,210.246.12.87,9.127.220.134,45948,21861
583.2855424429172,12.141.25.45,157.186.145.144,51741,12461
966.8434543606902,243.122.147.55,215.223.131.21,33451,39128
968.6180806032974,238.100.173.136,64.90.36.234,17716,64394
826.8732919083998,221.119.53.183,229.245.214.62,32649,5575
180.92016657889204,32.51.44.82,170.76.170.189,25942,3847
1261.188618604395,198.146.211.150,13.11.54.16,42419,55904
515.131094209017,37.96.56.105,8.104.59.57,42160,13940
320.4518400797886,59.131.156.202,40.237.187.130,50314,61638
109.12395525440768,243.35.189.93,94.222.204.138,50369,16191
906.7947676229506,182.191.207.97,44.139.207.80,53433,42469
1032.4683246713093,135.76.49.94,81.218.2.178,16601,48660
74.05235194539142,213.159.186.189,140.115.90.23,20643,9415
792.5349345339574,24.148.37.4,146.62.224.113,47264,13682
378.41887403701,220.108.126.20,128.62.38.249,34734,30709
985.5005460937023,188.152.50.177,239.195.166.195,38412,52158
302.83132205723757,179.96.105.164,222.61.129.222,62247,24404
1051.8597202485757,250.117.98.228,173.224.156.149,55896,43455
610.7662521357793,66.79.162.164,122.110.13.155,17219,29943
1408.258483668265,6.39.170.243,100.135.22.74,28713,63251
249.40536901169023,115.186.246.125,231.181.207.207,12178,3335
544.5462090228748,12.131.237.18,132.224.23.119,40145,41017
214.53660579885414,40.21.143.225,70.216.84.250,30436,45357
1390.805746503916,99.26.8.100,101.84.204.161,22365,44062
1322.1420624024224,240.222.87.42,28.136.1.165,33042,59889
424.0153601869756,172.14.78.2,63.22.70.125,10169,14584
1006.9768667495596,119.37.69.166,149.96.163.79,43286,50780
1234.972190291763,237.41.62.246,5.60.120.46,47354,58351
855.0411768192204,60.125.111.14,178.176.134.217,53557,62216
817.9933386162094,248.231.217.84,56.110.187.248,23247,61710
400.68582180565494,130.231.70.145,232.157.199.104,3904,49757
184.99901331855386,123.89.249.28,77.230.146.2,60555,39577
1350.962849032324,66.163.229.5,8.75.225.182,22295,27017
1355.6061828868292,193.168.204.184,125.38.176.27,34337,31516
967.9971130462385,164.45.151.47,20.140.43.189,47924,22005
541.593197020616,31.139.10.195,31.91.224.61,14328,25167
556.3538831883583,118.14.80.202,202.195.109.91,35719,13091
1102.6357343618472,93.10.76.94,163.95.143.144,31249,24940
1350.8098769312369,105.1.133.20,253.13.113.35,21560,61301
1336.2753151844202,8.171.204.1,244.203.187.149,31855,42532
1180.8195414935547,57.64.118.212,243.182.203.158,50180,47445
980.9458869237172,28.121.107.165,252.48.245.35,12697,51014
172.00294924282082,175.229.204.165,86.166.159.206,22941,63894
284.36163543719,49.241.120.44,152.114.177.224,28853,63912
1352.903573364265,56.156.111.207,100.160.183.207,16396,4839
929.3221365064054,134.108.251.189,235.186.99.3,26962,32860
63.33572484411299,148.114.78.130,208.197.85.125,60188,51023
197.13373715574656,201.37.20.26,138.83.25.68,55554,38501
1012.0775652066809,29.1.119.35,61.29.127.19,56409,38299
57.339296577017095,198.229.245.59,171.194.74.61,3687,40367
283.17167455537304,69.161.241.179,171.153.20.48,61306,5797
845.6639945815499,206.12.234.20,211.87.152.139,48825,13470
1053.2480366544053,181.242.216.251,110.226.183.28,10489,31757
995.3438262787707,43.126.226.217,197.191.59.133,4350,54644
375.1904987178117,50.29.185.39,51.149.12.50,4683,11488
1082.659870953927,223.184.239.171,132.246.113.170,61313,49656
394.0111768703601,178.151.172.38,212.166.153.14,28618,22600
521.8295623309382,84.151.128.126,203.32.139.189,51307,4344
1132.412537421135,45.52.80.178,146.155.55.182,5787,11774
991.9677036184613,234.124.119.8,210.120.215.75,24145,38490
1281.373945216558,242.85.129.247,21.172.133.87,11852,54487
1003.5386938354978,8.157.96.102,169.59.89.233,48612,27596
874.0474748364338,5.239.86.175,182.202.150.83,12245,53849
185.82841335073408,34.193.55.119,65.64.71.4,12235,18972
583.1879144361786,218.171.202.158,193.143.104.204,14593,62386
434.5434331385019,114.210.145.26,150.214.242.175,32382,52016
403.7849828996712,136.47.232.113,209.93.174.142,38884,39850
1460.865304391046,76.219.72.89,178.148.178.112,7046,24539
619.9917007668026,46.196.33.1,161.119.59.43,46361,28891
1343.4675050068142,147.31.208.142,207.12.40.118,65497,61255
965.1510076960312,53.48.69.105,20.222.166.131,53335,1750
1202.4763901353901,90.190.220.194,156.184.90.94,14539,26844
778.8237850025286,242.192.198.63,13.205.66.37,7183,61828
886.5106327082207,73.161.169.89,177.230.66.36,57494,7721
764.1506560373526,176.13.73.245,182.26.75.200,47015,45702
333.10233230716454,77.159.233.203,108.168.43.150,42237,43049
1097.5555671291827,68.98.125.102,148.8.29.40,22715,13987
457.1199255392409,238.132.102.19,218.158.209.128,25928,65384
85.25815132560807,198.226.82.141,84.116.183.144,60959,50458
985.9348290653934,233.23.83.109,174.62.235.7,44814,2105
306.810485140221,75.129.88.254,208.45.187.239,4068,21293
1413.6649473117257,54.199.89.213,184.176.155.181,10636,53057
